ID,segment
test-10207,0.022999745647017136
test-10208,0.15
test-10209,0.04
test-1021,0.02
test-10210,0.04
test-10211,0.31
test-10212,0.06
test-10213,0.0
test-10214,0.19
test-10215,0.12
test-10216,0.09
test-10217,0.05
test-10218,0.16
test-10219,0.25
test-1022,0.11
test-10220,0.12
test-10221,0.0
test-10222,0.11
test-10223,0.0
test-10224,0.051094848684734816
test-10225,0.12
test-10226,0.03
test-10227,0.08266944619947916
test-10228,0.3
test-10229,0.47
test-1023,0.14
test-10230,0.09
test-10231,0.06
test-10232,0.03
test-10233,0.07
test-10234,0.06
test-10235,0.09001385176080509
test-10236,0.13
test-10237,0.18
test-10238,0.02
test-10239,0.01
test-1024,0.07
test-10240,0.01
test-10241,0.23
test-10242,0.0
test-10243,0.08242009284261659
test-10244,0.02
test-10245,0.0
test-10246,0.0
test-10247,0.11
test-10248,0.37616666666666676
test-10249,0.09
test-1025,0.02
test-10250,0.0
test-10251,0.15
test-10252,0.0
test-10253,0.12
test-10254,0.25
test-10255,0.0
test-10256,0.11
test-10257,0.0
test-10258,0.04
test-10259,0.18
test-1026,0.01
test-10260,0.15
test-10261,0.09
test-10262,0.08266944619947916
test-10263,0.21
test-10264,0.06935404075997852
test-10265,0.09
test-10266,0.04
test-10267,0.03
test-10268,0.0
test-10269,0.14
test-1027,0.05
test-10270,0.22
test-10271,0.03
test-10272,0.15
test-10273,0.08
test-10274,0.1
test-10275,0.28
test-10276,0.02
test-10277,0.02
test-10278,0.32
test-10279,0.0
test-1028,0.3
test-10280,0.08
test-10281,0.01
test-10282,0.27
test-10283,0.0
test-10284,0.22
test-10285,0.05
test-10286,0.07
test-10287,0.03
test-10288,0.0
test-10289,0.08
test-1029,0.05
test-10290,0.01376743489157677
test-10291,0.01
test-10292,0.04
test-10293,0.34
test-10294,0.0
test-10295,0.21
test-10296,0.01
test-10297,0.06
test-10298,0.26
test-10299,0.21
test-103,0.03
test-1030,0.02
test-10300,0.05
test-10301,0.17
test-10302,0.17
test-10303,0.09488318956922422
test-10304,0.09488318956922422
test-10305,0.03
test-10306,0.07
test-10307,0.07
test-10308,0.01
test-10309,0.0
test-1031,0.12
test-10310,0.17
test-10311,0.18
test-10312,0.3
test-10313,0.0
test-10314,0.16
test-10315,0.14
test-10316,0.24
test-10317,0.1
test-10318,0.09
test-10319,0.04127777777777778
test-1032,0.36
test-10320,0.05
test-10321,0.28
test-10322,0.17
test-10323,0.14
test-10324,0.1
test-10325,0.08677996755158009
test-10326,0.13
test-10327,0.18
test-10328,0.02
test-10329,0.06
test-1033,0.06
test-10330,0.16
test-10331,0.0
test-10332,0.004393939393939394
test-10333,0.06
test-10334,0.01
test-10335,0.01
test-10336,0.0
test-10337,0.17
test-10338,0.0
test-10339,0.07
test-1034,0.11133838383838385
test-10340,0.01
test-10341,0.14
test-10342,0.07
test-10343,0.0
test-10344,0.04
test-10345,0.2
test-10346,0.0
test-10347,0.0684665801807032
test-10348,0.03
test-10349,0.19
test-1035,0.11
test-10350,0.17
test-10351,0.18
test-10352,0.01
test-10353,0.16
test-10354,0.1
test-10355,0.04
test-10356,0.04
test-10357,0.29
test-10358,0.17
test-10359,0.03
test-1036,0.04
test-10360,0.31
test-10361,0.25
test-10362,0.0
test-10363,0.01
test-10364,0.07
test-10365,0.12
test-10366,0.09
test-10367,0.01
test-10368,0.04
test-10369,0.12
test-1037,0.18
test-10370,0.08393603983735563
test-10371,0.19
test-10372,0.03
test-10373,0.04
test-10374,0.0
test-10375,0.09
test-10376,0.42
test-10377,0.06
test-10378,0.25
test-10379,0.0
test-1038,0.11
test-10380,0.13
test-10381,0.19
test-10382,0.18
test-10383,0.12
test-10384,0.11
test-10385,0.16
test-10386,0.03
test-10387,0.13
test-10388,0.05
test-10389,0.13
test-1039,0.05
test-10390,0.0
test-10391,0.12
test-10392,0.0
test-10393,0.22
test-10394,0.005
test-10395,0.0
test-10396,0.21
test-10397,0.01
test-10398,0.16
test-10399,0.0
test-104,0.12
test-1040,0.07
test-10400,0.23
test-10401,0.16
test-10402,0.34
test-10403,0.07
test-10404,0.03
test-10405,0.02
test-10406,0.28
test-10407,0.29
test-10408,0.25
test-10409,0.1
test-1041,0.05
test-10410,0.16
test-10411,0.07
test-10412,0.04
test-10413,0.215
test-10414,0.2
test-10415,0.12
test-10416,0.27
test-10417,0.14
test-10418,0.21
test-10419,0.0
test-1042,0.0
test-10420,0.0007692307692307692
test-10421,0.04
test-10422,0.03
test-10423,0.01
test-10424,0.1482055999555999
test-10425,0.09
test-10426,0.26
test-10427,0.0
test-10428,0.15
test-10429,0.01
test-1043,0.14
test-10430,0.22
test-10431,0.12
test-10432,0.11
test-10433,0.16
test-10434,0.08
test-10435,0.12
test-10436,0.0
test-10437,0.06950410978315938
test-10438,0.0
test-10439,0.0
test-1044,0.1
test-10440,0.03
test-10441,0.09
test-10442,0.05
test-10443,0.14
test-10444,0.005
test-10445,0.0
test-10446,0.14
test-10447,0.21
test-10448,0.16
test-10449,0.0
test-1045,0.03
test-10450,0.03
test-10451,0.04838511504541482
test-10452,0.05
test-10453,0.32
test-10454,0.2
test-10455,0.24
test-10456,0.03
test-10457,0.04
test-10458,0.13
test-10459,0.18
test-1046,0.08
test-10460,0.18
test-10461,0.13
test-10462,0.04
test-10463,0.17
test-10464,0.0
test-10465,0.07
test-10466,0.04
test-10467,0.13
test-10468,0.0
test-10469,0.06
test-1047,0.24
test-10470,0.01
test-10471,0.01
test-10472,0.048688140431420494
test-10473,0.15
test-10474,0.0
test-10475,0.05
test-10476,0.08
test-10477,0.06
test-10478,0.14
test-10479,0.4504999999999999
test-1048,0.02
test-10480,0.0
test-10481,0.01
test-10482,0.0
test-10483,0.02
test-10484,0.15
test-10485,0.13
test-10486,0.13
test-10487,0.04
test-10488,0.13
test-10489,0.01
test-1049,0.01
test-10490,0.19
test-10491,0.07872368691784638
test-10492,0.14
test-10493,0.23
test-10494,0.02
test-10495,0.12
test-10496,0.05
test-10497,0.09
test-10498,0.18
test-10499,0.14
test-105,0.02
test-1050,0.02
test-10500,0.0
test-10501,0.15
test-10502,0.14
test-10503,0.19
test-10504,0.2435258156875803
test-10505,0.14
test-10506,0.19
test-10507,0.27
test-10508,0.01
test-10509,0.02
test-1051,0.06363853389178516
test-10510,0.0
test-10511,0.16
test-10512,0.0
test-10513,0.09
test-10514,0.26
test-10515,0.34
test-10516,0.0
test-10517,0.06
test-10518,0.02
test-10519,0.05
test-1052,0.23
test-10520,0.0
test-10521,0.24
test-10522,0.07
test-10523,0.12
test-10524,0.36
test-10525,0.15
test-10526,0.02
test-10527,0.05
test-10528,0.11
test-10529,0.23
test-1053,0.0
test-10530,0.15
test-10531,0.1
test-10532,0.05
test-10533,0.27
test-10534,0.21
test-10535,0.01
test-10536,0.1841158819381662
test-10537,0.05
test-10538,0.25
test-10539,0.22
test-1054,0.0
test-10540,0.0
test-10541,0.03
test-10542,0.05290023935762684
test-10543,0.02
test-10544,0.04415956324648723
test-10545,0.22
test-10546,0.08
test-10547,0.04838511504541482
test-10548,0.01
test-10549,0.03
test-1055,0.01
test-10550,0.03
test-10551,0.02
test-10552,0.0
test-10553,0.05
test-10554,0.02
test-10555,0.12
test-10556,0.0
test-10557,0.27
test-10558,0.06
test-10559,0.0
test-1056,0.07
test-10560,0.12
test-10561,0.0
test-10562,0.0
test-10563,0.09
test-10564,0.04960703537457412
test-10565,0.11
test-10566,0.06
test-10567,0.0
test-10568,0.02
test-10569,0.12
test-1057,0.14
test-10570,0.17
test-10571,0.13
test-10572,0.12
test-10573,0.09
test-10574,0.01
test-10575,0.01
test-10576,0.0
test-10577,0.13
test-10578,0.006666666666666666
test-10579,0.052479442989196226
test-1058,0.03
test-10580,0.0
test-10581,0.2
test-10582,0.03833333333333334
test-10583,0.01
test-10584,0.01
test-10585,0.11
test-10586,0.01
test-10587,0.13
test-10588,0.23
test-10589,0.15
test-1059,0.19
test-10590,0.19
test-10591,0.37
test-10592,0.11
test-10593,0.06
test-10594,0.24
test-10595,0.35
test-10596,0.07
test-10597,0.01
test-10598,0.04
test-10599,0.43
test-106,0.01
test-1060,0.25
test-10600,0.08
test-10601,0.1
test-10602,0.24
test-10603,0.22
test-10604,0.12
test-10605,0.0
test-10606,0.02
test-10607,0.03
test-10608,0.31
test-10609,0.1
test-1061,0.02
test-10610,0.05
test-10611,0.11
test-10612,0.18
test-10613,0.05
test-10614,0.04
test-10615,0.14
test-10616,0.19
test-10617,0.17
test-10618,0.1
test-10619,0.07
test-1062,0.06
test-10620,0.18
test-10621,0.2
test-10622,0.07620629470538817
test-10623,0.03
test-10624,0.32
test-10625,0.06
test-10626,0.14
test-10627,0.06
test-10628,0.38
test-10629,0.11
test-1063,0.09
test-10630,0.03
test-10631,0.01
test-10632,0.06
test-10633,0.11
test-10634,0.1
test-10635,0.29
test-10636,0.46
test-10637,0.06
test-10638,0.21
test-10639,0.01
test-1064,0.04
test-10640,0.16
test-10641,0.01
test-10642,0.31
test-10643,0.25
test-10644,0.11666666666666668
test-10645,0.12
test-10646,0.02
test-10647,0.05
test-10648,0.25
test-10649,0.07619375149792984
test-1065,0.1
test-10650,0.05
test-10651,0.2
test-10652,0.0
test-10653,0.24
test-10654,0.18
test-10655,0.01
test-10656,0.18
test-10657,0.16
test-10658,0.15
test-10659,0.0
test-1066,0.08
test-10660,0.1
test-10661,0.08
test-10662,0.019597506839441104
test-10663,0.06319419304689865
test-10664,0.15
test-10665,0.19
test-10666,0.05
test-10667,0.37
test-10668,0.1
test-10669,0.02
test-1067,0.04
test-10670,0.33
test-10671,0.05543947726714591
test-10672,0.47
test-10673,0.0
test-10674,0.05
test-10675,0.07
test-10676,0.44
test-10677,0.06
test-10678,0.04
test-10679,0.06
test-1068,0.02
test-10680,0.2
test-10681,0.1
test-10682,0.23
test-10683,0.05
test-10684,0.17
test-10685,0.03
test-10686,0.17
test-10687,0.27
test-10688,0.05
test-10689,0.05
test-1069,0.0
test-10690,0.02
test-10691,0.06
test-10692,0.12
test-10693,0.11
test-10694,0.15
test-10695,0.22
test-10696,0.051094848684734816
test-10697,0.13
test-10698,0.0
test-10699,0.2
test-107,0.02
test-1070,0.03
test-10700,0.04
test-10701,0.08534020963399229
test-10702,0.01
test-10703,0.01
test-10704,0.34
test-10705,0.22484607059607048
test-10706,0.05
test-10707,0.11
test-10708,0.13
test-10709,0.03
test-1071,0.07
test-10710,0.0
test-10711,0.0
test-10712,0.4
test-10713,0.0
test-10714,0.08
test-10715,0.15
test-10716,0.25
test-10717,0.33
test-10718,0.11
test-10719,0.0
test-1072,0.05237876520359564
test-10720,0.02
test-10721,0.09
test-10722,0.0
test-10723,0.14
test-10724,0.25
test-10725,0.02
test-10726,0.01
test-10727,0.04
test-10728,0.18
test-10729,0.01
test-1073,0.02
test-10730,0.31
test-10731,0.0
test-10732,0.01
test-10733,0.07
test-10734,0.17
test-10735,0.25
test-10736,0.05
test-10737,0.07
test-10738,0.07
test-10739,0.16
test-1074,0.01
test-10740,0.03
test-10741,0.04838511504541482
test-10742,0.01
test-10743,0.2
test-10744,0.21
test-10745,0.02
test-10746,0.14
test-10747,0.05
test-10748,0.04960703537457412
test-10749,0.17
test-1075,0.17
test-10750,0.14
test-10751,0.11
test-10752,0.04
test-10753,0.63
test-10754,0.17
test-10755,0.01
test-10756,0.0
test-10757,0.05
test-10758,0.27
test-10759,0.17
test-1076,0.04
test-10760,0.048688140431420494
test-10761,0.14
test-10762,0.08472273691272912
test-10763,0.0
test-10764,0.01
test-10765,0.04
test-10766,0.25
test-10767,0.0
test-10768,0.0
test-10769,0.2
test-1077,0.06
test-10770,0.02
test-10771,0.02
test-10772,0.02
test-10773,0.21
test-10774,0.11
test-10775,0.0
test-10776,0.02
test-10777,0.0
test-10778,0.24
test-10779,0.0
test-1078,0.21
test-10780,0.0
test-10781,0.02
test-10782,0.1
test-10783,0.38
test-10784,0.13
test-10785,0.01
test-10786,0.11
test-10787,0.17
test-10788,0.11
test-10789,0.01
test-1079,0.38
test-10790,0.05
test-10791,0.07
test-10792,0.0
test-10793,0.0
test-10794,0.21
test-10795,0.0684665801807032
test-10796,0.01
test-10797,0.05
test-10798,0.04
test-10799,0.048688140431420494
test-108,0.22
test-1080,0.14
test-10800,0.31
test-10801,0.11
test-10802,0.23
test-10803,0.05082057651299055
test-10804,0.08
test-10805,0.03
test-10806,0.12
test-10807,0.07
test-10808,0.12
test-10809,0.17
test-1081,0.0
test-10810,0.43
test-10811,0.08
test-10812,0.04
test-10813,0.01
test-10814,0.01
test-10815,0.05
test-10816,0.24
test-10817,0.26
test-10818,0.03
test-10819,0.0
test-1082,0.15
test-10820,0.18
test-10821,0.07
test-10822,0.07
test-10823,0.01
test-10824,0.25
test-10825,0.05
test-10826,0.02
test-10827,0.18
test-10828,0.05453691514476548
test-10829,0.048688140431420494
test-1083,0.13
test-10830,0.2
test-10831,0.05453691514476548
test-10832,0.13
test-10833,0.08
test-10834,0.01
test-10835,0.02
test-10836,0.09
test-10837,0.0
test-10838,0.01
test-10839,0.1
test-1084,0.16
test-10840,0.39583333333333337
test-10841,0.02
test-10842,0.07701074926852775
test-10843,0.03265853680867323
test-10844,0.15
test-10845,0.04
test-10846,0.23
test-10847,0.07
test-10848,0.15
test-10849,0.04
test-1085,0.01
test-10850,0.07
test-10851,0.25
test-10852,0.04045767162126644
test-10853,0.23
test-10854,0.08
test-10855,0.15
test-10856,0.3
test-10857,0.07
test-10858,0.02
test-10859,0.03
test-1086,0.01
test-10860,0.34
test-10861,0.02
test-10862,0.09
test-10863,0.02
test-10864,0.34
test-10865,0.08
test-10866,0.29
test-10867,0.01
test-10868,0.06
test-10869,0.19
test-1087,0.02
test-10870,0.28
test-10871,0.14
test-10872,0.02
test-10873,0.08
test-10874,0.03
test-10875,0.04
test-10876,0.22
test-10877,0.0
test-10878,0.27
test-10879,0.04
test-1088,0.08
test-10880,0.13
test-10881,0.09772019313874589
test-10882,0.013208110314704494
test-10883,0.04343016147431212
test-10884,0.044303723016483235
test-10885,0.15
test-10886,0.25
test-10887,0.02
test-10888,0.0
test-10889,0.0
test-1089,0.27
test-10890,0.04
test-10891,0.02
test-10892,0.0
test-10893,0.26
test-10894,0.1
test-10895,0.01
test-10896,0.0
test-10897,0.17
test-10898,0.04
test-10899,0.0
test-109,0.09
test-1090,0.01
test-10900,0.2
test-10901,0.04
test-10902,0.06
test-10903,0.08
test-10904,0.025152376661925057
test-10905,0.03
test-10906,0.08833333333333333
test-10907,0.0
test-10908,0.03
test-10909,0.02
test-1091,0.035
test-10910,0.08
test-10911,0.04
test-10912,0.13
test-10913,0.17
test-10914,0.1
test-10915,0.01
test-10916,0.34
test-10917,0.12
test-10918,0.0
test-10919,0.04880364970813191
test-1092,0.13
test-10920,0.0
test-10921,0.02
test-10922,0.0
test-10923,0.0
test-10924,0.54
test-10925,0.11
test-10926,0.25
test-10927,0.04
test-10928,0.04
test-10929,0.01
test-1093,0.14
test-10930,0.01
test-10931,0.04
test-10932,0.05956124958167419
test-10933,0.04
test-10934,0.09
test-10935,0.04
test-10936,0.08
test-10937,0.0
test-10938,0.04
test-10939,0.22
test-1094,0.15
test-10940,0.09
test-10941,0.15
test-10942,0.22
test-10943,0.01
test-10944,0.0
test-10945,0.18
test-10946,0.16
test-10947,0.01
test-10948,0.08
test-10949,0.14
test-1095,0.06
test-10950,0.05
test-10951,0.03
test-10952,0.06097248885880044
test-10953,0.17
test-10954,0.09
test-10955,0.06914126820345295
test-10956,0.02
test-10957,0.01
test-10958,0.27
test-10959,0.05
test-1096,0.15
test-10960,0.1
test-10961,0.01
test-10962,0.07510052797648463
test-10963,0.07872368691784638
test-10964,0.22
test-10965,0.02
test-10966,0.08266944619947916
test-10967,0.06
test-10968,0.27
test-10969,0.15
test-1097,0.09
test-10970,0.23
test-10971,0.0
test-10972,0.23
test-10973,0.12
test-10974,0.0
test-10975,0.13
test-10976,0.1
test-10977,0.09
test-10978,0.052479442989196226
test-10979,0.01
test-1098,0.14
test-10980,0.09
test-10981,0.04
test-10982,0.21
test-10983,0.02
test-10984,0.05
test-10985,0.09115051284285032
test-10986,0.03
test-10987,0.0
test-10988,0.07
test-10989,0.019597506839441104
test-1099,0.14
test-10990,0.11
test-10991,0.07872368691784638
test-10992,0.0
test-10993,0.15
test-10994,0.08
test-10995,0.01
test-10996,0.0
test-10997,0.08
test-10998,0.01
test-10999,0.09
test-11,0.11
test-110,0.4153333333333334
test-1100,0.0
test-11000,0.047703964763834435
test-11001,0.09833333333333333
test-11002,0.07
test-11003,0.0
test-11004,0.07
test-11005,0.04
test-11006,0.08
test-11007,0.22
test-11008,0.2
test-11009,0.06
test-1101,0.03
test-11010,0.33
test-11011,0.0
test-11012,0.0
test-11013,0.34
test-11014,0.10833333333333334
test-11015,0.07
test-11016,0.11
test-11017,0.04
test-11018,0.09
test-11019,0.21
test-1102,0.01
test-11020,0.09
test-11021,0.07
test-11022,0.06
test-11023,0.13
test-11024,0.09
test-11025,0.03
test-11026,0.01
test-11027,0.022999745647017136
test-11028,0.23
test-11029,0.1
test-1103,0.26
test-11030,0.06097248885880044
test-11031,0.07
test-11032,0.0
test-11033,0.06
test-11034,0.03
test-11035,0.01
test-11036,0.21
test-11037,0.01
test-11038,0.0
test-11039,0.11
test-1104,0.03
test-11040,0.0
test-11041,0.16
test-11042,0.07
test-11043,0.0
test-11044,0.18
test-11045,0.039827168677065636
test-11046,0.11
test-11047,0.11
test-11048,0.03
test-11049,0.04
test-1105,0.08
test-11050,0.4
test-11051,0.02
test-11052,0.17
test-11053,0.13
test-11054,0.21
test-11055,0.03
test-11056,0.02
test-11057,0.07
test-11058,0.0
test-11059,0.02
test-1106,0.0
test-11060,0.04
test-11061,0.1
test-11062,0.3
test-11063,0.28
test-11064,0.02
test-11065,0.05453691514476548
test-11066,0.0
test-11067,0.18
test-11068,0.19
test-11069,0.3
test-1107,0.08
test-11070,0.022000000000000002
test-11071,0.3881428571428572
test-11072,0.2
test-11073,0.17
test-11074,0.16
test-11075,0.13
test-11076,0.37
test-11077,0.06
test-11078,0.01
test-11079,0.08
test-1108,0.026064768564768567
test-11080,0.04046330778598693
test-11081,0.01
test-11082,0.25
test-11083,0.19
test-11084,0.0
test-11085,0.05
test-11086,0.19
test-11087,0.08
test-11088,0.16
test-11089,0.1
test-1109,0.0
test-11090,0.12
test-11091,0.17
test-11092,0.14
test-11093,0.17
test-11094,0.01
test-11095,0.1
test-11096,0.17
test-11097,0.02
test-11098,0.01
test-11099,0.08
test-111,0.03
test-1110,0.0
test-11100,0.01
test-11101,0.0
test-11102,0.15
test-11103,0.03
test-11104,0.1
test-11105,0.01
test-11106,0.01
test-11107,0.1
test-11108,0.03
test-11109,0.25
test-1111,0.0
test-11110,0.15
test-11111,0.08
test-11112,0.14
test-11113,0.0
test-11114,0.28
test-11115,0.11
test-11116,0.01
test-11117,0.01
test-11118,0.12
test-11119,0.13
test-1112,0.09001385176080509
test-11120,0.04
test-11121,0.1834286158258765
test-11122,0.0
test-11123,0.15
test-11124,0.04838511504541482
test-11125,0.11
test-11126,0.0
test-11127,0.03
test-11128,0.03
test-11129,0.07
test-1113,0.02
test-11130,0.05
test-11131,0.15
test-11132,0.04
test-11133,0.15
test-11134,0.16
test-11135,0.07
test-11136,0.01
test-11137,0.03
test-11138,0.04
test-11139,0.07
test-1114,0.2
test-11140,0.105
test-11141,0.01
test-11142,0.03
test-11143,0.0
test-11144,0.29
test-11145,0.12
test-11146,0.12
test-11147,0.08912717837717836
test-11148,0.41125
test-11149,0.01
test-1115,0.10683333333333334
test-11150,0.04838511504541482
test-11151,0.01
test-11152,0.4
test-11153,0.17
test-11154,0.35
test-11155,0.02
test-11156,0.04
test-11157,0.16
test-11158,0.01
test-11159,0.11
test-1116,0.0
test-11160,0.25
test-11161,0.35
test-11162,0.32
test-11163,0.12
test-11164,0.07
test-11165,0.0506571742058792
test-11166,0.02
test-11167,0.08
test-11168,0.18
test-11169,0.27
test-1117,0.28
test-11170,0.0
test-11171,0.19
test-11172,0.05
test-11173,0.16
test-11174,0.09
test-11175,0.01
test-11176,0.1881190476190476
test-11177,0.08
test-11178,0.02
test-11179,0.13
test-1118,0.08
test-11180,0.27
test-11181,0.06
test-11182,0.02
test-11183,0.01
test-11184,0.03
test-11185,0.01
test-11186,0.11
test-11187,0.16
test-11188,0.03
test-11189,0.05
test-1119,0.08677996755158009
test-11190,0.03
test-11191,0.0
test-11192,0.28
test-11193,0.37
test-11194,0.02
test-11195,0.09
test-11196,0.08
test-11197,0.0
test-11198,0.09833333333333334
test-11199,0.05
test-112,0.04
test-1120,0.21
test-11200,0.01
test-11201,0.18
test-11202,0.0
test-11203,0.12
test-11204,0.3
test-11205,0.13
test-11206,0.41
test-11207,0.01
test-11208,0.22
test-11209,0.04
test-1121,0.09488318956922422
test-11210,0.04
test-11211,0.36
test-11212,0.15
test-11213,0.15
test-11214,0.07701074926852775
test-11215,0.04960703537457412
test-11216,0.33
test-11217,0.0
test-11218,0.0
test-11219,0.0
test-1122,0.18
test-11220,0.01
test-11221,0.09
test-11222,0.36
test-11223,0.13
test-11224,0.01
test-11225,0.05
test-11226,0.17
test-11227,0.06
test-11228,0.12
test-11229,0.0
test-1123,0.003333333333333333
test-11230,0.26
test-11231,0.22
test-11232,0.26
test-11233,0.0
test-11234,0.04
test-11235,0.12
test-11236,0.02
test-11237,0.19
test-11238,0.13
test-11239,0.05
test-1124,0.02
test-11240,0.05
test-11241,0.02
test-11242,0.15
test-11243,0.035
test-11244,0.06
test-11245,0.08
test-11246,0.01
test-11247,0.03
test-11248,0.01
test-11249,0.05
test-1125,0.06
test-11250,0.03
test-11251,0.01
test-11252,0.01
test-11253,0.0
test-11254,0.02
test-11255,0.08472273691272912
test-11256,0.01
test-11257,0.04
test-11258,0.0
test-11259,0.08
test-1126,0.12
test-11260,0.31
test-11261,0.05609734933557787
test-11262,0.38
test-11263,0.05
test-11264,0.1
test-11265,0.05
test-11266,0.06
test-11267,0.0
test-11268,0.31
test-11269,0.13
test-1127,0.0
test-11270,0.11
test-11271,0.1
test-11272,0.31
test-11273,0.19
test-11274,0.12
test-11275,0.0
test-11276,0.07
test-11277,0.26
test-11278,0.24
test-11279,0.06
test-1128,0.12
test-11280,0.11
test-11281,0.6
test-11282,0.23
test-11283,0.04
test-11284,0.0
test-11285,0.25
test-11286,0.050809085825040914
test-11287,0.02
test-11288,0.21
test-11289,0.16
test-1129,0.12
test-11290,0.07
test-11291,0.04
test-11292,0.13
test-11293,0.13
test-11294,0.03
test-11295,0.35
test-11296,0.29
test-11297,0.15
test-11298,0.01
test-11299,0.27
test-113,0.1
test-1130,0.01
test-11300,0.06
test-11301,0.02
test-11302,0.01
test-11303,0.08
test-11304,0.021704545454545456
test-11305,0.06487725427882218
test-11306,0.19
test-11307,0.02
test-11308,0.01
test-11309,0.12
test-1131,0.14
test-11310,0.01
test-11311,0.01
test-11312,0.01
test-11313,0.14
test-11314,0.04448394132917704
test-11315,0.35
test-11316,0.010833333333333332
test-11317,0.18
test-11318,0.3
test-11319,0.05
test-1132,0.19
test-11320,0.12
test-11321,0.09
test-11322,0.05
test-11323,0.28
test-11324,0.35
test-11325,0.18
test-11326,0.09
test-11327,0.040552446369301304
test-11328,0.0
test-11329,0.16
test-1133,0.11948733053655086
test-11330,0.25
test-11331,0.05
test-11332,0.05
test-11333,0.0
